Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Platform_Code,Content_Type_Code
POST_04168,2024-01-07 02:55:00,Instagram,Reel,Lifestyle,8448,490,202,29382,993,0.662688875002003,2.76,0.08695652173913043,Sunday,7,0.019153225806451613,Positive,Macro,True,True,1,9
POST_02667,2024-01-07 03:43:00,Instagram,Story,Fashion,1242,270,186,833,524,0.9534281914467466,0.36,0.13043478260869565,Sunday,12,0.2772177419354839,Positive,Macro,True,False,1,13
POST_00013,2024-01-07 05:44:00,TikTok,Video,Fitness,37311,858,4513,439758,2823,0.9176140460510505,9.31,0.21739130434782608,Sunday,22,0.2938508064516129,Positive,Macro,True,False,3,16
POST_00600,2024-01-07 05:55:00,Instagram,Story,Fashion,5138,49,140,47958,245,0.7280880962681665,1.46,0.21739130434782608,Sunday,2,0.4536290322580645,Positive,Macro,True,False,1,13
POST_03649,2024-01-07 07:53:00,Facebook,Story,Travel,4532,332,707,24121,391,0.9593287827076225,1.16,0.30434782608695654,Sunday,8,0.6194556451612903,Negative,Macro,True,False,0,13
POST_02620,2024-01-07 07:56:00,Twitter,Retweet,Fitness,4492,244,997,24696,383,0.270265506577577,4.23,0.30434782608695654,Sunday,1,0.14919354838709675,Negative,Macro,True,True,4,10
POST_03937,2024-01-07 11:00:00,Twitter,Retweet,Fashion,3186,177,1551,27503,16,0.09392074860997614,10.36,0.4782608695652174,Sunday,23,0.40473790322580644,Neutral,Micro,True,False,4,10
POST_00255,2024-01-07 11:19:00,Instagram,Carousel,Health,9902,174,48,760,226,0.7474663109487415,2.71,0.4782608695652174,Sunday,21,0.08719758064516128,Negative,Macro,True,True,1,1
POST_01458,2024-01-07 13:01:00,LinkedIn,Article,Gaming,615,72,309,18554,208,0.618278213078242,0.32,0.5652173913043478,Sunday,10,0.4485887096774193,Neutral,Macro,True,False,2,0
POST_01115,2024-01-07 13:08:00,Facebook,Live,Health,6283,165,569,49857,522,0.705475171850214,1.99,0.5652173913043478,Sunday,10,0.2560483870967742,Positive,Macro,True,True,0,5
POST_04061,2024-01-08 04:28:00,Twitter,Tweet,Lifestyle,280,240,940,50483,119,0.9695556730599755,0.3,0.17391304347826086,Monday,6,0.8452620967741935,Positive,Macro,True,False,4,15
POST_02972,2024-01-08 05:59:00,Instagram,Reel,Travel,545,440,95,46180,238,0.7427193994455928,0.29,0.21739130434782608,Monday,6,0.2752016129032258,Positive,Macro,True,True,1,9
POST_00620,2024-01-08 06:19:00,LinkedIn,Article,Lifestyle,1635,90,194,14227,248,0.6189491900206702,0.62,0.2608695652173913,Monday,24,0.42741935483870963,Neutral,Macro,True,False,2,0
POST_02131,2024-01-08 18:33:00,Instagram,Carousel,Health,6342,62,163,23890,486,0.08890544632985628,14.62,0.7826086956521738,Monday,20,0.2631048387096774,Positive,Micro,True,False,1,1
POST_01977,2024-01-08 20:04:00,Twitter,Poll,Fashion,145,183,223,1947,282,0.2390640772965438,0.46,0.8695652173913043,Monday,8,0.08316532258064516,Positive,Macro,True,False,4,7
POST_04253,2024-01-08 21:37:00,Twitter,Poll,Health,4073,129,1122,96934,425,0.05270674101491772,19.82,0.9130434782608695,Monday,26,0.829133064516129,Negative,Micro,True,True,4,7
POST_02226,2024-01-09 00:43:00,Facebook,Live,Entertainment,3270,132,535,10351,754,0.6433006457401979,1.22,0.0,Tuesday,24,0.17288306451612903,Negative,Macro,True,True,0,5
POST_02509,2024-01-09 02:24:00,TikTok,Video,Business,33034,309,2036,242685,2609,0.3700087327148328,19.1,0.08695652173913043,Tuesday,18,0.23336693548387094,Negative,Macro,False,False,3,16
POST_00885,2024-01-09 03:27:00,TikTok,Duet,Fashion,8731,994,1938,75043,577,0.7434765017866014,3.14,0.13043478260869565,Tuesday,24,0.23991935483870966,Neutral,Macro,True,False,3,4
POST_03590,2024-01-09 03:40:00,Instagram,Carousel,Food,7684,20,151,3713,125,0.09360028201060747,16.62,0.13043478260869565,Tuesday,28,0.35836693548387094,Negative,Micro,True,False,1,1
POST_01451,2024-01-09 11:12:00,Facebook,Story,Entertainment,5232,366,371,10075,558,0.5149697960230096,2.32,0.4782608695652174,Tuesday,11,0.7545362903225806,Positive,Macro,True,False,0,13
POST_04753,2024-01-09 11:48:00,LinkedIn,Post,Health,472,94,425,18259,112,0.5553185437997725,0.36,0.4782608695652174,Tuesday,18,0.37298387096774194,Positive,Macro,True,False,2,8
POST_03402,2024-01-09 12:59:00,Instagram,Story,Technology,8440,165,264,37752,483,0.955216795654473,1.86,0.5217391304347826,Tuesday,3,0.4788306451612903,Negative,Macro,True,False,1,13
POST_04525,2024-01-09 13:30:00,TikTok,Stitch,Lifestyle,46571,441,758,302431,1829,0.018995657677578555,476.41,0.5652173913043478,Tuesday,19,0.12953629032258063,Positive,Micro,True,False,3,12
POST_03917,2024-01-09 16:37:00,LinkedIn,Poll,Health,794,7,127,14918,32,0.14892283164287204,1.24,0.6956521739130435,Tuesday,20,0.5362903225806451,Neutral,Mid-tier,False,True,2,7
POST_00483,2024-01-09 18:55:00,Facebook,Video,Sports,4283,106,38,73605,646,0.9947944206765051,0.89,0.7826086956521738,Tuesday,5,0.13911290322580644,Positive,Macro,True,True,0,16
POST_02783,2024-01-09 19:32:00,YouTube,Community Post,Education,13734,469,172,726267,4479,0.5444787610761269,5.28,0.8260869565217391,Tuesday,2,0.16330645161290322,Positive,Macro,True,False,5,2
POST_00147,2024-01-09 21:52:00,Facebook,Video,Gaming,3309,303,203,21871,590,0.18638337419282477,4.08,0.9130434782608695,Tuesday,8,0.16733870967741934,Negative,Mid-tier,True,True,0,16
POST_01364,2024-01-09 22:21:00,Facebook,Live,Business,6830,129,742,57034,78,0.47017457418000613,3.27,0.9565217391304348,Tuesday,16,0.013608870967741934,Neutral,Macro,True,False,0,5
POST_02243,2024-01-10 05:26:00,Facebook,Live,Sports,478,266,811,76686,562,0.7650178660129149,0.41,0.21739130434782608,Wednesday,22,0.23941532258064516,Positive,Macro,True,False,0,5
POST_01461,2024-01-10 10:00:00,Twitter,Thread,Fitness,4449,21,209,57922,448,0.7020001121633099,1.33,0.43478260869565216,Wednesday,29,0.14516129032258063,Neutral,Macro,True,False,4,14
POST_04354,2024-01-10 11:46:00,YouTube,Community Post,Lifestyle,4676,219,376,470105,4140,0.7700251566280506,1.37,0.4782608695652174,Wednesday,5,0.7202620967741935,Neutral,Macro,True,False,5,2
POST_00471,2024-01-10 14:57:00,Instagram,Photo,Technology,9883,67,77,43316,382,0.8095386883302089,2.48,0.6086956521739131,Wednesday,15,0.34274193548387094,Negative,Macro,False,False,1,6
POST_04025,2024-01-10 15:51:00,LinkedIn,Poll,Lifestyle,1895,17,158,15208,205,0.8140672819625375,0.51,0.6521739130434783,Wednesday,7,0.4289314516129032,Neutral,Macro,False,True,2,7
POST_04594,2024-01-10 16:29:00,Twitter,Thread,Education,400,4,1034,45335,106,0.4909067602429137,0.59,0.6956521739130435,Wednesday,15,0.10735887096774194,Neutral,Macro,True,False,4,14
POST_03823,2024-01-10 21:11:00,TikTok,Stitch,Entertainment,35475,1898,2937,187442,1847,0.10392932109150925,76.88,0.9130434782608695,Wednesday,6,0.03629032258064516,Positive,Mid-tier,True,False,3,12
POST_04447,2024-01-10 21:32:00,Instagram,Photo,Food,5088,262,199,14888,660,0.8701809835119936,1.28,0.9130434782608695,Wednesday,9,0.892641129032258,Neutral,Macro,False,False,1,6
POST_02198,2024-01-10 22:53:00,TikTok,Duet,Lifestyle,32338,66,969,479514,2703,0.5582688394302104,11.95,0.9565217391304348,Wednesday,18,0.21774193548387094,Positive,Macro,True,False,3,4
POST_02303,2024-01-11 00:33:00,Facebook,Live,Sports,3204,107,380,57955,489,0.5216995946097519,1.41,0.0,Thursday,13,0.28125,Positive,Macro,True,False,0,5
POST_04612,2024-01-11 11:14:00,Instagram,Story,Health,2366,255,107,32084,535,0.0006990177698729351,305.83,0.4782608695652174,Thursday,21,0.546875,Neutral,Nano,True,True,1,13
POST_03896,2024-01-11 14:24:00,TikTok,Duet,Technology,30187,821,4505,71771,2764,0.45060808537230207,15.75,0.6086956521739131,Thursday,5,0.06905241935483872,Neutral,Macro,True,False,3,4
POST_02056,2024-01-11 21:15:00,LinkedIn,Article,Sports,170,19,259,25386,143,0.6674217660914292,0.13,0.9130434782608695,Thursday,13,0.46169354838709675,Neutral,Macro,True,True,2,0
POST_03661,2024-01-11 22:51:00,Facebook,Post,Food,6580,9,900,31319,646,0.05946057459661267,24.77,0.9565217391304348,Thursday,24,0.9304435483870968,Neutral,Micro,True,False,0,8
POST_00991,2024-01-12 08:41:00,TikTok,Video,Health,31852,1590,801,323063,616,0.1725151821051451,39.51,0.34782608695652173,Friday,28,0.003024193548387096,Positive,Mid-tier,True,False,3,16
POST_04724,2024-01-12 12:53:00,Twitter,Poll,Health,2640,172,1471,29943,329,0.9329463699145958,0.92,0.5217391304347826,Friday,16,0.5892137096774194,Neutral,Macro,False,False,4,7
POST_02826,2024-01-12 15:29:00,TikTok,Duet,Gaming,25781,1671,3381,20430,224,0.9043046675960199,6.82,0.6521739130434783,Friday,26,0.0005040322580645157,Neutral,Macro,False,True,3,4
POST_02458,2024-01-12 20:49:00,Facebook,Post,Gaming,6543,54,632,43676,465,0.7493450463875404,1.93,0.8695652173913043,Friday,24,0.39012096774193544,Positive,Macro,True,False,0,8
POST_04902,2024-01-12 20:49:00,Facebook,Live,Business,504,234,46,44411,268,0.36519572497556446,0.43,0.8695652173913043,Friday,5,0.1567540322580645,Positive,Macro,True,False,0,5
POST_01847,2024-01-12 20:59:00,Instagram,Carousel,Food,4453,438,291,663,248,0.295740598311141,3.5,0.8695652173913043,Friday,27,0.6224798387096774,Neutral,Macro,True,False,1,1
POST_04101,2024-01-12 21:17:00,Facebook,Post,Sports,6260,5,169,6216,458,0.04132216507234534,30.39,0.9130434782608695,Friday,4,0.6154233870967741,Positive,Micro,True,False,0,8
POST_00057,2024-01-12 21:46:00,Instagram,Photo,Gaming,5741,410,126,10052,350,0.5181344036917753,2.42,0.9130434782608695,Friday,1,0.9017137096774194,Positive,Macro,True,True,1,6
POST_01124,2024-01-13 00:33:00,TikTok,Stitch,Fitness,38874,81,4338,232603,1319,0.5724174397923377,15.12,0.0,Saturday,9,0.22782258064516128,Positive,Macro,True,False,3,12
POST_01437,2024-01-13 07:02:00,Twitter,Thread,Health,2813,177,396,67504,147,0.9511689019211974,0.71,0.30434782608695654,Saturday,16,0.2716733870967742,Positive,Macro,True,False,4,14
POST_04128,2024-01-13 12:13:00,YouTube,Community Post,Health,4016,921,1195,677761,1270,0.9439403771891876,1.3,0.5217391304347826,Saturday,13,0.985383064516129,Negative,Macro,True,False,5,2
POST_00343,2024-01-13 18:18:00,Instagram,Reel,Fitness,1899,280,211,45999,436,0.7027852553317632,0.68,0.7826086956521738,Saturday,7,0.09576612903225806,Neutral,Macro,True,False,1,9
POST_04713,2024-01-13 18:53:00,Twitter,Tweet,Fashion,1910,32,362,17951,484,0.39078097710266146,1.18,0.7826086956521738,Saturday,24,0.783266129032258,Neutral,Macro,True,False,4,15
POST_04636,2024-01-13 19:06:00,YouTube,Community Post,Technology,9823,417,589,639335,3961,0.9068784149721997,2.39,0.8260869565217391,Saturday,22,0.3649193548387097,Neutral,Macro,True,False,5,2
POST_04642,2024-01-14 00:50:00,Twitter,Thread,Travel,2576,103,975,63465,221,0.6324688746815365,1.16,0.0,Sunday,4,0.6118951612903225,Positive,Macro,True,False,4,14
POST_03566,2024-01-14 05:41:00,LinkedIn,Poll,Sports,1545,120,12,2194,209,0.14028024804114794,2.38,0.21739130434782608,Sunday,1,0.2696572580645161,Positive,Mid-tier,True,False,2,7
POST_04720,2024-01-14 09:07:00,YouTube,Video,Health,7987,542,791,398393,3449,0.44736936980243236,4.16,0.3913043478260869,Sunday,10,0.07308467741935484,Positive,Macro,True,False,5,16
POST_04522,2024-01-14 21:15:00,Facebook,Live,Business,1062,134,81,28161,138,0.6567502283324521,0.39,0.9130434782608695,Sunday,29,0.14919354838709675,Positive,Macro,True,True,0,5
POST_04559,2024-01-14 21:35:00,YouTube,Short,Gaming,1100,821,1467,711542,4223,0.8979013443573844,0.75,0.9130434782608695,Sunday,12,0.2923387096774193,Negative,Macro,False,False,5,11
POST_02951,2024-01-15 05:40:00,TikTok,Stitch,Business,19793,1018,4074,257816,1086,0.5905798843115577,8.42,0.21739130434782608,Monday,8,0.00252016129032258,Neutral,Macro,True,False,3,12
POST_04115,2024-01-15 10:52:00,Facebook,Post,Sports,4674,114,267,12139,303,0.2443357528561586,4.13,0.43478260869565216,Monday,7,0.702116935483871,Positive,Macro,True,True,0,8
POST_00338,2024-01-15 22:34:00,LinkedIn,Article,Fashion,1574,48,478,23296,7,0.07980419490778574,5.2,0.9565217391304348,Monday,1,0.6295362903225806,Neutral,Micro,False,False,2,0
POST_00110,2024-01-16 02:59:00,Instagram,Story,Education,150,43,291,2900,309,0.4713362656027176,0.21,0.08695652173913043,Tuesday,25,0.546875,Positive,Macro,True,False,1,13
POST_01086,2024-01-16 06:59:00,Facebook,Video,Technology,286,219,454,69548,168,0.2561930170327998,0.75,0.2608695652173913,Tuesday,5,0.11945564516129031,Neutral,Macro,True,False,0,16
POST_02563,2024-01-16 08:26:00,Instagram,Photo,Technology,9875,148,105,34673,464,0.4814850422214745,4.2,0.34782608695652173,Tuesday,20,0.078125,Positive,Macro,True,False,1,6
POST_02331,2024-01-16 15:13:00,Twitter,Retweet,Technology,2508,106,230,19802,32,0.12059759009117277,4.68,0.6521739130434783,Tuesday,0,0.34627016129032256,Negative,Mid-tier,True,True,4,10
POST_02175,2024-01-16 23:45:00,Instagram,Story,Education,1379,34,296,4199,917,0.4182910317422167,0.82,1.0,Tuesday,9,0.10887096774193547,Positive,Macro,True,False,1,13
POST_02110,2024-01-17 06:33:00,YouTube,Video,Gaming,4368,808,275,190721,807,0.016534073611177875,61.96,0.2608695652173913,Wednesday,6,0.24647177419354838,Positive,Nano,False,False,5,16
POST_01046,2024-01-17 07:13:00,Facebook,Video,Education,647,131,266,5057,494,0.4217941322565656,0.49,0.30434782608695654,Wednesday,26,0.2404233870967742,Neutral,Macro,False,True,0,16
POST_01100,2024-01-17 08:35:00,Twitter,Poll,Sports,3399,215,947,53196,380,0.9969976285471648,0.92,0.34782608695652173,Wednesday,7,0.6507056451612903,Positive,Macro,True,True,4,7
POST_00758,2024-01-17 11:50:00,Facebook,Live,Lifestyle,7091,159,835,35164,583,0.1272292457818584,12.62,0.4782608695652174,Wednesday,11,0.2923387096774193,Neutral,Mid-tier,False,False,0,5
POST_04114,2024-01-17 13:01:00,Instagram,Reel,Health,412,142,210,40620,74,0.7435946738451186,0.21,0.5652173913043478,Wednesday,21,0.04233870967741935,Positive,Macro,True,True,1,9
POST_02435,2024-01-17 16:08:00,YouTube,Live,Health,19639,806,321,725703,2092,0.4330885769680655,9.58,0.6956521739130435,Wednesday,24,0.009576612903225805,Neutral,Macro,True,True,5,5
POST_04614,2024-01-17 17:42:00,Instagram,Photo,Technology,3668,263,261,3706,470,0.6259553910493679,1.34,0.7391304347826086,Wednesday,10,0.09879032258064516,Neutral,Macro,True,False,1,6
POST_04867,2024-01-17 19:59:00,Twitter,Poll,Fitness,26,207,1207,94651,187,0.4328181832748482,0.66,0.8260869565217391,Wednesday,19,0.08467741935483872,Positive,Macro,False,False,4,7
POST_03820,2024-01-17 22:08:00,Facebook,Video,Business,5171,250,163,70298,748,0.46151596724831356,2.42,0.9565217391304348,Wednesday,6,0.08165322580645162,Negative,Macro,True,False,0,16
POST_03576,2024-01-17 22:12:00,Twitter,Retweet,Fitness,3940,142,1944,37624,55,0.18909532278998223,6.35,0.9565217391304348,Wednesday,7,0.892641129032258,Neutral,Mid-tier,True,True,4,10
POST_00910,2024-01-18 11:21:00,Twitter,Poll,Fashion,1613,51,1235,89627,346,0.8353302408306496,0.69,0.4782608695652174,Thursday,24,0.6769153225806451,Negative,Macro,True,False,4,7
POST_04696,2024-01-18 11:35:00,TikTok,Video,Fashion,5391,243,3142,9876,2778,0.6681748625999456,2.63,0.4782608695652174,Thursday,8,0.09274193548387097,Negative,Macro,True,False,3,16
POST_01126,2024-01-18 16:52:00,Facebook,Post,Fashion,3046,9,192,60195,750,0.6633518402794469,0.98,0.6956521739130435,Thursday,26,0.5685483870967741,Positive,Macro,True,False,0,8
POST_03285,2024-01-19 01:27:00,Facebook,Post,Food,3401,57,340,76452,437,0.3827032158823247,1.98,0.043478260869565216,Friday,23,0.8094758064516129,Positive,Macro,True,False,0,8
POST_04097,2024-01-19 19:06:00,Instagram,Photo,Gaming,5564,46,94,22263,290,0.7787057956384497,1.47,0.8260869565217391,Friday,25,0.626008064516129,Neutral,Macro,True,False,1,6
POST_04987,2024-01-19 20:50:00,LinkedIn,Poll,Entertainment,1615,83,358,1184,201,0.8384047172683429,0.49,0.8695652173913043,Friday,7,0.563508064516129,Neutral,Macro,True,False,2,7
POST_01760,2024-01-19 21:00:00,Facebook,Video,Sports,7957,303,613,33600,654,0.6676641189572018,2.66,0.9130434782608695,Friday,21,0.19808467741935482,Positive,Macro,True,False,0,16
POST_03762,2024-01-20 03:42:00,LinkedIn,Post,Business,1964,112,118,26278,250,0.6880518034257881,0.64,0.13043478260869565,Saturday,14,0.5720766129032258,Negative,Macro,True,False,2,8
POST_03791,2024-01-20 08:35:00,Instagram,Carousel,Technology,1169,171,63,49825,262,0.10214672563252096,2.72,0.34782608695652173,Saturday,24,0.8316532258064516,Positive,Mid-tier,True,False,1,1
POST_01523,2024-01-20 12:50:00,Twitter,Retweet,Fitness,4251,281,83,43738,197,0.21000777131503473,4.38,0.5217391304347826,Saturday,4,0.2545362903225806,Neutral,Macro,True,False,4,10
POST_02948,2024-01-20 15:58:00,Facebook,Video,Sports,4917,86,380,16484,458,0.35480058965854283,3.03,0.6521739130434783,Saturday,9,0.13457661290322578,Neutral,Macro,True,False,0,16
POST_03344,2024-01-20 20:45:00,Instagram,Reel,Entertainment,1417,62,92,32890,871,0.9747592494672244,0.32,0.8695652173913043,Saturday,16,0.019153225806451613,Positive,Macro,True,False,1,9
POST_02098,2024-01-20 23:46:00,Facebook,Story,Travel,4929,226,92,71992,436,0.23465365572273233,4.46,1.0,Saturday,27,0.20161290322580644,Positive,Macro,True,False,0,13
POST_01783,2024-01-21 01:44:00,Facebook,Post,Sports,7406,273,937,20661,728,0.44154488935890657,3.9,0.043478260869565216,Sunday,2,0.4122983870967742,Neutral,Macro,True,False,0,8
POST_03371,2024-01-21 01:55:00,Instagram,Photo,Travel,1488,333,46,21794,342,0.7670247880914612,0.49,0.043478260869565216,Sunday,5,0.1507056451612903,Positive,Macro,True,False,1,6
POST_00755,2024-01-21 12:55:00,Instagram,Story,Travel,5701,337,47,4501,73,0.6386398596356295,1.91,0.5217391304347826,Sunday,6,0.20866935483870966,Positive,Macro,True,False,1,13
POST_01547,2024-01-21 16:30:00,TikTok,Stitch,Food,39344,1057,3856,483575,2839,0.01426677242064446,577.32,0.6956521739130435,Sunday,22,0.1381048387096774,Positive,Nano,True,False,3,12
POST_00278,2024-01-21 19:09:00,Facebook,Story,Lifestyle,7105,184,663,57034,787,0.7764344886154242,2.05,0.8260869565217391,Sunday,15,0.18346774193548385,Positive,Macro,True,True,0,13
POST_03317,2024-01-21 22:30:00,Facebook,Video,Education,3160,17,801,64490,756,0.3943281417744236,2.01,0.9565217391304348,Sunday,20,0.23891129032258063,Positive,Macro,True,False,0,16
POST_03432,2024-01-22 00:59:00,YouTube,Video,Gaming,1601,167,967,69858,314,0.18756309186175074,2.9,0.0,Monday,22,0.15120967741935482,Negative,Mid-tier,True,False,5,16
POST_03605,2024-01-22 05:18:00,Instagram,Reel,Technology,5014,121,200,34570,591,0.676531029178484,1.58,0.21739130434782608,Monday,6,0.19203629032258063,Positive,Macro,True,True,1,9
POST_00634,2024-01-22 10:10:00,Facebook,Post,Health,4000,301,563,17282,533,0.4460895063212037,2.18,0.43478260869565216,Monday,14,0.5846774193548386,Positive,Macro,False,False,0,8
POST_04147,2024-01-22 19:48:00,Instagram,Carousel,Technology,3582,261,269,32102,371,0.13420940889935748,6.09,0.8260869565217391,Monday,13,0.6698588709677419,Neutral,Mid-tier,True,True,1,1
POST_02369,2024-01-22 22:24:00,Twitter,Tweet,Education,4511,242,36,26120,204,0.8255039337275074,1.16,0.9565217391304348,Monday,27,0.5625,Positive,Macro,True,True,4,15
POST_01552,2024-01-23 04:37:00,Facebook,Story,Entertainment,3406,66,294,43825,71,0.9388509670079637,0.8,0.17391304347826086,Tuesday,9,0.4329637096774193,Neutral,Macro,True,False,0,13
POST_02276,2024-01-24 04:46:00,Facebook,Story,Health,2646,146,360,15128,399,0.4781702158342547,1.32,0.17391304347826086,Wednesday,19,0.9002016129032258,Neutral,Macro,True,False,0,13
POST_03084,2024-01-24 09:26:00,Facebook,Live,Gaming,3969,175,183,5188,382,0.7358153471454438,1.18,0.3913043478260869,Wednesday,10,0.1622983870967742,Neutral,Macro,True,True,0,5
